tile_name,split,x_center,y_center,acquisition_date
dop20rgbi_32_300_5548_2_rp_2023_004_006,train,300550,5549650,20230527
dop20rgbi_32_300_5548_2_rp_2023_004_007,train,300650,5549650,20230527
dop20rgbi_32_300_5548_2_rp_2023_004_008,train,300750,5549650,20230527
dop20rgbi_32_300_5548_2_rp_2023_004_010,train,300950,5549650,20230527
dop20rgbi_32_300_5548_2_rp_2023_005_001,train,300050,5549550,20230527
dop20rgbi_32_300_5548_2_rp_2023_005_002,train,300150,5549550,20230527
dop20rgbi_32_300_5548_2_rp_2023_005_005,train,300450,5549550,20230527
dop20rgbi_32_300_5548_2_rp_2023_005_006,train,300550,5549550,20230527
dop20rgbi_32_300_5548_2_rp_2023_005_007,train,300650,5549550,20230527
dop20rgbi_32_300_5548_2_rp_2023_006_001,train,300050,5549450,20230527
dop20rgbi_32_300_5548_2_rp_2023_006_002,train,300150,5549450,20230527
dop20rgbi_32_300_5548_2_rp_2023_006_003,train,300250,5549450,20230527
dop20rgbi_32_300_5548_2_rp_2023_006_004,train,300350,5549450,20230527
dop20rgbi_32_300_5548_2_rp_2023_007_001,train,300050,5549350,20230527
dop20rgbi_32_300_5548_2_rp_2023_007_002,train,300150,5549350,20230527
dop20rgbi_32_300_5548_2_rp_2023_007_003,train,300250,5549350,20230527
dop20rgbi_32_300_5548_2_rp_2023_008_001,train,300050,5549250,20230527
dop20rgbi_32_300_5548_2_rp_2023_008_002,train,300150,5549250,20230527
dop20rgbi_32_300_5548_2_rp_2023_017_005,train,300450,5548350,20230527
dop20rgbi_32_300_5548_2_rp_2023_017_008,train,300750,5548350,20230527
dop20rgbi_32_300_5548_2_rp_2023_017_009,train,300850,5548350,20230527
dop20rgbi_32_300_5548_2_rp_2023_018_008,train,300750,5548250,20230527
dop20rgbi_32_300_5548_2_rp_2023_018_009,train,300850,5548250,20230527
dop20rgbi_32_300_5548_2_rp_2023_019_005,train,300450,5548150,20230527
dop20rgbi_32_300_5548_2_rp_2023_020_005,train,300450,5548050,20230527
dop20rgbi_32_300_5548_2_rp_2023_020_006,train,300550,5548050,20230527
dop20rgbi_32_300_5548_2_rp_2023_020_008,train,300750,5548050,20230527
dop20rgbi_32_300_5550_2_rp_2023_001_001,train,300050,5551950,20230527
dop20rgbi_32_300_5550_2_rp_2023_002_019,train,301850,5551850,20230527
dop20rgbi_32_300_5550_2_rp_2023_002_020,train,301950,5551850,20230527
dop20rgbi_32_300_5550_2_rp_2023_003_019,train,301850,5551750,20230527
dop20rgbi_32_300_5550_2_rp_2023_003_020,train,301950,5551750,20230527
dop20rgbi_32_300_5550_2_rp_2023_005_002,train,300150,5551550,20230527
dop20rgbi_32_300_5550_2_rp_2023_005_003,train,300250,5551550,20230527
dop20rgbi_32_300_5550_2_rp_2023_005_004,train,300350,5551550,20230527
dop20rgbi_32_300_5550_2_rp_2023_007_015,train,301450,5551350,20230527
dop20rgbi_32_300_5550_2_rp_2023_007_016,train,301550,5551350,20230527
dop20rgbi_32_300_5550_2_rp_2023_008_014,train,301350,5551250,20230527
dop20rgbi_32_300_5550_2_rp_2023_008_015,train,301450,5551250,20230527
dop20rgbi_32_300_5550_2_rp_2023_008_016,train,301550,5551250,20230527
dop20rgbi_32_300_5550_2_rp_2023_010_013,train,301250,5551050,20230527
dop20rgbi_32_300_5550_2_rp_2023_010_014,train,301350,5551050,20230527
dop20rgbi_32_300_5550_2_rp_2023_011_013,train,301250,5550950,20230527
dop20rgbi_32_300_5550_2_rp_2023_011_014,train,301350,5550950,20230527
dop20rgbi_32_300_5550_2_rp_2023_012_007,train,300650,5550850,20230527
dop20rgbi_32_300_5550_2_rp_2023_012_008,train,300750,5550850,20230527
dop20rgbi_32_300_5550_2_rp_2023_013_004,train,300350,5550750,20230527
dop20rgbi_32_300_5550_2_rp_2023_013_005,train,300450,5550750,20230527
dop20rgbi_32_300_5550_2_rp_2023_013_006,train,300550,5550750,20230527
dop20rgbi_32_300_5550_2_rp_2023_013_007,train,300650,5550750,20230527
dop20rgbi_32_300_5550_2_rp_2023_013_008,train,300750,5550750,20230527
dop20rgbi_32_300_5550_2_rp_2023_014_004,train,300350,5550650,20230527
dop20rgbi_32_300_5550_2_rp_2023_014_005,train,300450,5550650,20230527
dop20rgbi_32_300_5550_2_rp_2023_014_006,train,300550,5550650,20230527
dop20rgbi_32_300_5550_2_rp_2023_014_008,train,300750,5550650,20230527
dop20rgbi_32_300_5550_2_rp_2023_015_006,train,300550,5550550,20230527
dop20rgbi_32_300_5550_2_rp_2023_015_007,train,300650,5550550,20230527
dop20rgbi_32_300_5550_2_rp_2023_015_008,train,300750,5550550,20230527
dop20rgbi_32_300_5550_2_rp_2023_016_006,train,300550,5550450,20230527
dop20rgbi_32_300_5550_2_rp_2023_016_007,train,300650,5550450,20230527
dop20rgbi_32_300_5550_2_rp_2023_016_008,train,300750,5550450,20230527
dop20rgbi_32_300_5550_2_rp_2023_017_008,train,300750,5550350,20230527
dop20rgbi_32_300_5550_2_rp_2023_017_011,train,301050,5550350,20230527
dop20rgbi_32_300_5550_2_rp_2023_017_012,train,301150,5550350,20230527
dop20rgbi_32_300_5550_2_rp_2023_017_018,train,301750,5550350,20230527
dop20rgbi_32_300_5550_2_rp_2023_018_012,train,301150,5550250,20230527
dop20rgbi_32_300_5550_2_rp_2023_018_013,train,301250,5550250,20230527
dop20rgbi_32_300_5550_2_rp_2023_018_016,train,301550,5550250,20230527
dop20rgbi_32_300_5550_2_rp_2023_018_017,train,301650,5550250,20230527
dop20rgbi_32_300_5550_2_rp_2023_018_018,train,301750,5550250,20230527
dop20rgbi_32_300_5550_2_rp_2023_018_019,train,301850,5550250,20230527
dop20rgbi_32_300_5550_2_rp_2023_019_008,train,300750,5550150,20230527
dop20rgbi_32_300_5550_2_rp_2023_019_009,train,300850,5550150,20230527
dop20rgbi_32_300_5550_2_rp_2023_019_010,train,300950,5550150,20230527
dop20rgbi_32_300_5550_2_rp_2023_019_011,train,301050,5550150,20230527
dop20rgbi_32_300_5550_2_rp_2023_019_012,train,301150,5550150,20230527
dop20rgbi_32_300_5550_2_rp_2023_019_014,train,301350,5550150,20230527
dop20rgbi_32_300_5550_2_rp_2023_019_015,train,301450,5550150,20230527
dop20rgbi_32_300_5550_2_rp_2023_019_018,train,301750,5550150,20230527
dop20rgbi_32_300_5550_2_rp_2023_019_019,train,301850,5550150,20230527
dop20rgbi_32_300_5550_2_rp_2023_020_010,train,300950,5550050,20230527
dop20rgbi_32_300_5550_2_rp_2023_020_011,train,301050,5550050,20230527
dop20rgbi_32_300_5550_2_rp_2023_020_012,train,301150,5550050,20230527
dop20rgbi_32_300_5550_2_rp_2023_020_013,train,301250,5550050,20230527
dop20rgbi_32_300_5550_2_rp_2023_020_015,train,301450,5550050,20230527
dop20rgbi_32_300_5550_2_rp_2023_020_016,train,301550,5550050,20230527
dop20rgbi_32_300_5550_2_rp_2023_020_017,train,301650,5550050,20230527
dop20rgbi_32_300_5550_2_rp_2023_020_018,train,301750,5550050,20230527
dop20rgbi_32_300_5552_2_rp_2023_019_009,train,300850,5552150,20230527
dop20rgbi_32_300_5552_2_rp_2023_019_011,train,301050,5552150,20230527
dop20rgbi_32_300_5552_2_rp_2023_020_007,train,300650,5552050,20230527
dop20rgbi_32_300_5552_2_rp_2023_020_008,train,300750,5552050,20230527
dop20rgbi_32_300_5552_2_rp_2023_020_009,train,300850,5552050,20230527
dop20rgbi_32_300_5552_2_rp_2023_020_010,train,300950,5552050,20230527
dop20rgbi_32_300_5552_2_rp_2023_020_011,train,301050,5552050,20230527
dop20rgbi_32_300_5568_2_rp_2023_012_011,test,301050,5568850,20230906
dop20rgbi_32_300_5568_2_rp_2023_012_012,test,301150,5568850,20230906
dop20rgbi_32_300_5568_2_rp_2023_013_011,test,301050,5568750,20230906
dop20rgbi_32_300_5568_2_rp_2023_013_012,test,301150,5568750,20230906
dop20rgbi_32_300_5568_2_rp_2023_014_011,test,301050,5568650,20230906
dop20rgbi_32_302_5546_2_rp_2023_001_015,train,303450,5547950,20230527
dop20rgbi_32_302_5548_2_rp_2023_005_012,train,303150,5549550,20230527
dop20rgbi_32_302_5548_2_rp_2023_009_008,train,302750,5549150,20230527
dop20rgbi_32_302_5548_2_rp_2023_009_011,train,303050,5549150,20230527
dop20rgbi_32_302_5548_2_rp_2023_009_012,train,303150,5549150,20230527
dop20rgbi_32_302_5548_2_rp_2023_010_009,train,302850,5549050,20230527
dop20rgbi_32_302_5548_2_rp_2023_010_011,train,303050,5549050,20230527
dop20rgbi_32_302_5548_2_rp_2023_011_009,train,302850,5548950,20230527
dop20rgbi_32_302_5548_2_rp_2023_011_015,train,303450,5548950,20230527
dop20rgbi_32_302_5548_2_rp_2023_011_016,train,303550,5548950,20230527
dop20rgbi_32_302_5548_2_rp_2023_012_015,train,303450,5548850,20230527
dop20rgbi_32_302_5548_2_rp_2023_012_016,train,303550,5548850,20230527
dop20rgbi_32_302_5548_2_rp_2023_012_017,train,303650,5548850,20230527
dop20rgbi_32_302_5548_2_rp_2023_013_015,train,303450,5548750,20230527
dop20rgbi_32_302_5548_2_rp_2023_013_017,train,303650,5548750,20230527
dop20rgbi_32_302_5548_2_rp_2023_013_018,train,303750,5548750,20230527
dop20rgbi_32_302_5548_2_rp_2023_015_013,train,303250,5548550,20230527
dop20rgbi_32_302_5548_2_rp_2023_016_011,train,303050,5548450,20230527
dop20rgbi_32_302_5548_2_rp_2023_016_013,train,303250,5548450,20230527
dop20rgbi_32_302_5548_2_rp_2023_016_014,train,303350,5548450,20230527
dop20rgbi_32_302_5548_2_rp_2023_016_015,train,303450,5548450,20230527
dop20rgbi_32_302_5548_2_rp_2023_016_016,train,303550,5548450,20230527
dop20rgbi_32_302_5548_2_rp_2023_017_012,train,303150,5548350,20230527
dop20rgbi_32_302_5548_2_rp_2023_017_016,train,303550,5548350,20230527
dop20rgbi_32_302_5548_2_rp_2023_017_017,train,303650,5548350,20230527
dop20rgbi_32_302_5548_2_rp_2023_017_018,train,303750,5548350,20230527
dop20rgbi_32_302_5552_2_rp_2023_001_016,train,303550,5553950,20230527
dop20rgbi_32_302_5552_2_rp_2023_001_017,train,303650,5553950,20230527
dop20rgbi_32_302_5554_2_rp_2023_020_016,train,303550,5554050,20230527
dop20rgbi_32_302_5554_2_rp_2023_020_017,train,303650,5554050,20230527
dop20rgbi_32_304_5538_2_rp_2023_011_002,train,304150,5538950,20230527
dop20rgbi_32_304_5538_2_rp_2023_011_005,train,304450,5538950,20230527
dop20rgbi_32_304_5538_2_rp_2023_012_004,train,304350,5538850,20230527
dop20rgbi_32_304_5544_2_rp_2023_003_012,train,305150,5545750,20230527
dop20rgbi_32_304_5544_2_rp_2023_003_013,train,305250,5545750,20230527
dop20rgbi_32_304_5544_2_rp_2023_004_011,train,305050,5545650,20230527
dop20rgbi_32_304_5544_2_rp_2023_004_012,train,305150,5545650,20230527
dop20rgbi_32_304_5544_2_rp_2023_004_013,train,305250,5545650,20230527
dop20rgbi_32_304_5544_2_rp_2023_005_013,train,305250,5545550,20230527
dop20rgbi_32_304_5546_2_rp_2023_016_002,train,304150,5546450,20230527
dop20rgbi_32_304_5548_2_rp_2023_013_010,train,304950,5548750,20230527
dop20rgbi_32_304_5548_2_rp_2023_013_011,train,305050,5548750,20230527
dop20rgbi_32_304_5554_2_rp_2023_013_003,train,304250,5554750,20230527
dop20rgbi_32_304_5554_2_rp_2023_013_004,train,304350,5554750,20230527
dop20rgbi_32_304_5554_2_rp_2023_014_003,train,304250,5554650,20230527
dop20rgbi_32_304_5554_2_rp_2023_014_004,train,304350,5554650,20230527
dop20rgbi_32_306_5540_2_rp_2023_003_019,train,307850,5541750,20230527
dop20rgbi_32_306_5540_2_rp_2023_003_020,train,307950,5541750,20230527
dop20rgbi_32_306_5540_2_rp_2023_004_020,train,307950,5541650,20230527
dop20rgbi_32_306_5542_2_rp_2023_019_001,train,306050,5542150,20230527
dop20rgbi_32_306_5542_2_rp_2023_019_002,train,306150,5542150,20230527
dop20rgbi_32_306_5542_2_rp_2023_019_003,train,306250,5542150,20230527
dop20rgbi_32_306_5542_2_rp_2023_020_001,train,306050,5542050,20230527
dop20rgbi_32_306_5542_2_rp_2023_020_002,train,306150,5542050,20230527
dop20rgbi_32_306_5542_2_rp_2023_020_003,train,306250,5542050,20230527
dop20rgbi_32_306_5542_2_rp_2023_020_005,train,306450,5542050,20230527
dop20rgbi_32_306_5542_2_rp_2023_020_006,train,306550,5542050,20230527
dop20rgbi_32_306_5548_2_rp_2023_014_018,train,307750,5548650,20230527
dop20rgbi_32_306_5548_2_rp_2023_014_019,train,307850,5548650,20230527
dop20rgbi_32_306_5548_2_rp_2023_015_018,train,307750,5548550,20230527
dop20rgbi_32_306_5568_2_rp_2023_003_017,test,307650,5569750,20230906
dop20rgbi_32_306_5568_2_rp_2023_003_018,test,307750,5569750,20230906
dop20rgbi_32_306_5568_2_rp_2023_004_016,test,307550,5569650,20230906
dop20rgbi_32_306_5568_2_rp_2023_004_017,test,307650,5569650,20230906
dop20rgbi_32_306_5568_2_rp_2023_005_017,test,307650,5569550,20230906
dop20rgbi_32_306_5568_2_rp_2023_006_016,test,307550,5569450,20230906
dop20rgbi_32_308_5540_2_rp_2023_003_001,train,308050,5541750,20230527
dop20rgbi_32_308_5542_2_rp_2023_002_011,train,309050,5543850,20230527
dop20rgbi_32_308_5542_2_rp_2023_003_012,train,309150,5543750,20230527
dop20rgbi_32_308_5542_2_rp_2023_003_013,train,309250,5543750,20230527
dop20rgbi_32_308_5542_2_rp_2023_003_014,train,309350,5543750,20230527
dop20rgbi_32_308_5542_2_rp_2023_003_019,train,309850,5543750,20230527
dop20rgbi_32_308_5542_2_rp_2023_004_012,train,309150,5543650,20230527
dop20rgbi_32_308_5542_2_rp_2023_004_013,train,309250,5543650,20230527
dop20rgbi_32_308_5542_2_rp_2023_004_014,train,309350,5543650,20230527
dop20rgbi_32_308_5542_2_rp_2023_004_017,train,309650,5543650,20230527
dop20rgbi_32_308_5542_2_rp_2023_004_018,train,309750,5543650,20230527
dop20rgbi_32_308_5542_2_rp_2023_015_004,train,308350,5542550,20230527
dop20rgbi_32_308_5542_2_rp_2023_015_005,train,308450,5542550,20230527
dop20rgbi_32_308_5542_2_rp_2023_016_004,train,308350,5542450,20230527
dop20rgbi_32_308_5542_2_rp_2023_016_005,train,308450,5542450,20230527
dop20rgbi_32_308_5542_2_rp_2023_016_006,train,308550,5542450,20230527
dop20rgbi_32_308_5542_2_rp_2023_020_005,train,308450,5542050,20230527
dop20rgbi_32_308_5542_2_rp_2023_020_006,train,308550,5542050,20230527
dop20rgbi_32_308_5544_2_rp_2023_001_005,train,308450,5545950,20230527
dop20rgbi_32_308_5544_2_rp_2023_001_006,train,308550,5545950,20230527
dop20rgbi_32_308_5544_2_rp_2023_002_004,train,308350,5545850,20230527
dop20rgbi_32_308_5544_2_rp_2023_002_005,train,308450,5545850,20230527
dop20rgbi_32_308_5544_2_rp_2023_002_007,train,308650,5545850,20230527
dop20rgbi_32_308_5544_2_rp_2023_003_003,train,308250,5545750,20230527
dop20rgbi_32_308_5544_2_rp_2023_003_004,train,308350,5545750,20230527
dop20rgbi_32_308_5544_2_rp_2023_003_007,train,308650,5545750,20230527
dop20rgbi_32_308_5544_2_rp_2023_004_004,train,308350,5545650,20230527
dop20rgbi_32_308_5544_2_rp_2023_004_005,train,308450,5545650,20230527
dop20rgbi_32_308_5544_2_rp_2023_004_006,train,308550,5545650,20230527
dop20rgbi_32_308_5544_2_rp_2023_004_007,train,308650,5545650,20230527
dop20rgbi_32_308_5544_2_rp_2023_004_008,train,308750,5545650,20230527
dop20rgbi_32_308_5552_2_rp_2023_001_019,train,309850,5553950,20230527
dop20rgbi_32_308_5552_2_rp_2023_005_006,train,308550,5553550,20230527
dop20rgbi_32_308_5552_2_rp_2023_005_007,train,308650,5553550,20230527
dop20rgbi_32_308_5552_2_rp_2023_007_011,train,309050,5553350,20230527
dop20rgbi_32_308_5552_2_rp_2023_007_012,train,309150,5553350,20230527
dop20rgbi_32_308_5552_2_rp_2023_007_013,train,309250,5553350,20230527
dop20rgbi_32_308_5552_2_rp_2023_008_011,train,309050,5553250,20230527
dop20rgbi_32_308_5552_2_rp_2023_008_012,train,309150,5553250,20230527
dop20rgbi_32_308_5552_2_rp_2023_012_003,train,308250,5552850,20230527
dop20rgbi_32_308_5554_2_rp_2023_015_004,train,308350,5554550,20230527
dop20rgbi_32_308_5554_2_rp_2023_016_003,train,308250,5554450,20230527
dop20rgbi_32_308_5554_2_rp_2023_016_004,train,308350,5554450,20230527
dop20rgbi_32_308_5554_2_rp_2023_019_018,train,309750,5554150,20230527
dop20rgbi_32_308_5558_2_rp_2023_013_010,train,308950,5558750,20230527
dop20rgbi_32_308_5558_2_rp_2023_014_010,train,308950,5558650,20230527
dop20rgbi_32_308_5558_2_rp_2023_014_011,train,309050,5558650,20230527
dop20rgbi_32_308_5558_2_rp_2023_014_012,train,309150,5558650,20230527
dop20rgbi_32_308_5562_2_rp_2023_011_010,test,308950,5562950,20230906
dop20rgbi_32_308_5562_2_rp_2023_012_009,test,308850,5562850,20230906
dop20rgbi_32_308_5562_2_rp_2023_012_010,test,308950,5562850,20230906
dop20rgbi_32_308_5574_2_rp_2023_003_004,test,308350,5575750,20230907
dop20rgbi_32_308_5574_2_rp_2023_003_005,test,308450,5575750,20230907
dop20rgbi_32_310_5544_2_rp_2023_013_006,train,310550,5544750,20230527
dop20rgbi_32_310_5544_2_rp_2023_014_008,train,310750,5544650,20230527
dop20rgbi_32_310_5548_2_rp_2023_007_015,train,311450,5549350,20230527
dop20rgbi_32_310_5548_2_rp_2023_007_016,train,311550,5549350,20230527
dop20rgbi_32_310_5548_2_rp_2023_008_015,train,311450,5549250,20230527
dop20rgbi_32_310_5548_2_rp_2023_011_010,train,310950,5548950,20230527
dop20rgbi_32_310_5548_2_rp_2023_011_011,train,311050,5548950,20230527
dop20rgbi_32_310_5552_2_rp_2023_015_006,train,310550,5552550,20230527
dop20rgbi_32_310_5552_2_rp_2023_015_007,train,310650,5552550,20230527
dop20rgbi_32_310_5552_2_rp_2023_016_006,train,310550,5552450,20230527
dop20rgbi_32_310_5552_2_rp_2023_016_007,train,310650,5552450,20230527
dop20rgbi_32_310_5552_2_rp_2023_017_004,train,310350,5552350,20230527
dop20rgbi_32_310_5552_2_rp_2023_017_006,train,310550,5552350,20230527
dop20rgbi_32_310_5552_2_rp_2023_018_005,train,310450,5552250,20230527
dop20rgbi_32_310_5552_2_rp_2023_018_006,train,310550,5552250,20230527
dop20rgbi_32_310_5554_2_rp_2023_015_010,train,310950,5554550,20230527
dop20rgbi_32_310_5554_2_rp_2023_015_011,train,311050,5554550,20230527
dop20rgbi_32_310_5562_2_rp_2023_003_010,test,310950,5563750,20230906
dop20rgbi_32_310_5562_2_rp_2023_004_010,test,310950,5563650,20230906
dop20rgbi_32_310_5568_2_rp_2023_007_006,test,310550,5569350,20230906
dop20rgbi_32_310_5568_2_rp_2023_008_008,test,310750,5569250,20230906
dop20rgbi_32_310_5568_2_rp_2023_009_008,test,310750,5569150,20230906
dop20rgbi_32_312_5550_2_rp_2023_004_006,train,312550,5551650,20230527
dop20rgbi_32_312_5550_2_rp_2023_008_009,train,312850,5551250,20230527
dop20rgbi_32_312_5550_2_rp_2023_008_010,train,312950,5551250,20230527
dop20rgbi_32_312_5550_2_rp_2023_009_009,train,312850,5551150,20230527
dop20rgbi_32_312_5550_2_rp_2023_009_010,train,312950,5551150,20230527
dop20rgbi_32_312_5552_2_rp_2023_004_015,train,313450,5553650,20230527
dop20rgbi_32_312_5552_2_rp_2023_004_016,train,313550,5553650,20230527
dop20rgbi_32_312_5552_2_rp_2023_005_014,train,313350,5553550,20230527
dop20rgbi_32_312_5552_2_rp_2023_005_015,train,313450,5553550,20230527
dop20rgbi_32_312_5552_2_rp_2023_009_002,train,312150,5553150,20230527
dop20rgbi_32_314_5552_2_rp_2023_007_017,train,315650,5553350,20230527
dop20rgbi_32_314_5552_2_rp_2023_007_018,train,315750,5553350,20230527
dop20rgbi_32_314_5552_2_rp_2023_008_017,train,315650,5553250,20230527
dop20rgbi_32_314_5552_2_rp_2023_008_018,train,315750,5553250,20230527
dop20rgbi_32_314_5552_2_rp_2023_010_012,train,315150,5553050,20230527
dop20rgbi_32_314_5556_2_rp_2023_017_003,train,314250,5556350,20230527
dop20rgbi_32_314_5556_2_rp_2023_017_004,train,314350,5556350,20230527
dop20rgbi_32_314_5556_2_rp_2023_018_003,train,314250,5556250,20230527
dop20rgbi_32_314_5556_2_rp_2023_018_004,train,314350,5556250,20230527
dop20rgbi_32_314_5564_2_rp_2023_004_008,test,314750,5565650,20230906
dop20rgbi_32_314_5566_2_rp_2023_014_006,test,314550,5566650,20230906
dop20rgbi_32_316_5492_2_rp_2023_010_012,validation,317150,5493050,20230909
dop20rgbi_32_316_5492_2_rp_2023_010_013,validation,317250,5493050,20230909
dop20rgbi_32_316_5534_2_rp_2023_001_001,train,316050,5535950,20230527
dop20rgbi_32_316_5534_2_rp_2023_002_001,train,316050,5535850,20230527
dop20rgbi_32_316_5534_2_rp_2023_005_002,train,316150,5535550,20230527
dop20rgbi_32_316_5534_2_rp_2023_006_001,train,316050,5535450,20230527
dop20rgbi_32_316_5534_2_rp_2023_006_002,train,316150,5535450,20230527
dop20rgbi_32_316_5536_2_rp_2023_001_013,train,317250,5537950,20230527
dop20rgbi_32_316_5536_2_rp_2023_002_013,train,317250,5537850,20230527
dop20rgbi_32_316_5536_2_rp_2023_002_014,train,317350,5537850,20230527
dop20rgbi_32_316_5536_2_rp_2023_020_001,train,316050,5536050,20230527
dop20rgbi_32_316_5556_2_rp_2023_019_005,test,316450,5556150,20230527
dop20rgbi_32_316_5556_2_rp_2023_020_005,test,316450,5556050,20230527
dop20rgbi_32_318_5490_2_rp_2023_005_006,validation,318550,5491550,20230910
dop20rgbi_32_318_5490_2_rp_2023_006_006,validation,318550,5491450,20230910
dop20rgbi_32_318_5490_2_rp_2023_007_006,validation,318550,5491350,20230910
dop20rgbi_32_318_5490_2_rp_2023_007_007,validation,318650,5491350,20230910
dop20rgbi_32_318_5490_2_rp_2023_007_008,validation,318750,5491350,20230910
dop20rgbi_32_318_5490_2_rp_2023_015_016,validation,319550,5490550,20230910
dop20rgbi_32_318_5490_2_rp_2023_015_017,validation,319650,5490550,20230910
dop20rgbi_32_318_5490_2_rp_2023_016_016,validation,319550,5490450,20230910
dop20rgbi_32_318_5490_2_rp_2023_016_017,validation,319650,5490450,20230910
dop20rgbi_32_318_5490_2_rp_2023_016_018,validation,319750,5490450,20230910
dop20rgbi_32_318_5554_2_rp_2023_003_019,test,319850,5555750,20230527
dop20rgbi_32_318_5554_2_rp_2023_003_020,test,319950,5555750,20230527
dop20rgbi_32_318_5554_2_rp_2023_004_020,test,319950,5555650,20230527
dop20rgbi_32_318_5554_2_rp_2023_005_020,test,319950,5555550,20230527
dop20rgbi_32_318_5554_2_rp_2023_006_020,test,319950,5555450,20230527
dop20rgbi_32_318_5554_2_rp_2023_007_014,test,319350,5555350,20230527
dop20rgbi_32_318_5554_2_rp_2023_007_015,test,319450,5555350,20230527
dop20rgbi_32_318_5554_2_rp_2023_007_016,test,319550,5555350,20230527
dop20rgbi_32_318_5554_2_rp_2023_008_014,test,319350,5555250,20230527
dop20rgbi_32_318_5554_2_rp_2023_020_012,test,319150,5554050,20230527
dop20rgbi_32_320_5492_2_rp_2023_003_012,validation,321150,5493750,20230909
dop20rgbi_32_320_5492_2_rp_2023_003_013,validation,321250,5493750,20230909
dop20rgbi_32_320_5496_2_rp_2023_015_009,validation,320850,5496550,20230909
dop20rgbi_32_320_5496_2_rp_2023_015_010,validation,320950,5496550,20230909
dop20rgbi_32_320_5504_2_rp_2023_002_015,validation,321450,5505850,20230909
dop20rgbi_32_320_5508_2_rp_2023_011_018,validation,321750,5508950,20230908
dop20rgbi_32_320_5508_2_rp_2023_018_011,validation,321050,5508250,20230908
dop20rgbi_32_320_5510_2_rp_2023_015_010,test,320950,5510550,20230908
dop20rgbi_32_320_5510_2_rp_2023_016_009,test,320850,5510450,20230908
dop20rgbi_32_320_5532_2_rp_2023_017_005,train,320450,5532350,20230527
dop20rgbi_32_320_5532_2_rp_2023_017_006,train,320550,5532350,20230527
dop20rgbi_32_322_5572_2_rp_2023_007_006,validation,322550,5573350,20230907
dop20rgbi_32_322_5572_2_rp_2023_008_005,validation,322450,5573250,20230907
dop20rgbi_32_322_5572_2_rp_2023_008_006,validation,322550,5573250,20230907
